rank,boxer,score
754,Toshiaki Nitta,0.0001
755,Israel Gonzalez,0.0001
756,Jonathan Taconing,0.0001
757,Javier Mendoza,0.0001
758,Jesus Geles,0.0001
759,Francisco Reyes,0.0001
760,Jorge Cardenas,0.0001
761,Omar Sheika,0.0001
762,Clinton Woods,0.0001
763,Derrick Harmon,0.0001
764,Merqui Sosa,0.0001
765,Tavoris Cloud,0.0001
766,Syd Vanderpool,0.0001
767,Avni Yıldırım,0.0001
768,George Groves,0.0001
769,Silvio Branco,0.0001
770,Erik Skoglund,0.0001
771,Ilunga Makabu,0.0001
772,Daniel Judah,0.0001
773,Sven Ottke,0.0001
774,Joseph Kiwanuka,0.0001
775,Conor Benn,0.0001
776,Jordy Weiss,0.0001
777,Mohamed Mimoune,0.0001
778,Zoran Didanovic,0.0001
779,Artem Karasev,0.0001
780,Marcello Matano,0.0001
781,Łukasz Maciec,0.0001
782,Ivan Calderon,0.0001
783,Raul Garcia,0.0001
784,Carlos Melo,0.0001
785,Robert Guerrero,0.0001
786,Sharmba Mitchell,0.0001
787,Henry Bruseles,0.0001
788,Phillip Ndou,0.0001
789,Victoriano Sosa,0.0001
790,Jose Luis Castillo,0.0001
791,Jesus Chavez,0.0001
792,Gregorio Vargas,0.0001
793,Justin Juuko,0.0001
794,Tony Pep,0.0001
795,Gustavo Cuello,0.0001
796,Miguel Melo,0.0001
797,Sam Girard,0.0001
798,Hector Arroyo,0.0001
799,Louie Leija,0.0001
800,Jesus Roberto Chavez,0.0001
801,Larry OShields,0.0001
802,Tony Duran,0.0001
803,Kino Rodriguez,0.0001
804,Jerry Cooper,0.0001
805,Reggie Sanders,0.0001
806,Roberto Apodaca,0.0001
807,Aaron Chalmers,0.0001
808,Mikuru Asakura,0.0001
809,Don Moore,0.0001
810,Nattapong Jankaew,0.0001
811,Randy Petalcorin,0.0001
812,Tanawat Phonnaku,0.0001
813,Jakrawut Majungoen,0.0001
814,Yodmongkol Vor Saengthep,0.0001
815,Thitisak Hoitong,0.0001
816,Sanhajate Kaewpoon,0.0001
817,Phongsaphon Panyakum,0.0001
818,Naoki Mochizuki,0.0001
819,Tibo Monabesa,0.0001
820,Namphol Sithsaithong,0.0001
821,Lerdchai Chaiyawed,0.0001
822,Mark Barriga,0.0001
823,Yuki Chinen,0.0001
824,Denver Cuello,0.0001
825,Rafael Concepcion,0.0001
826,Julio Cesar Miranda,0.0001
827,Ulises Solis,0.0001
828,Glenn Donaire,0.0001
829,Juan Jose Francisco Marquez Solano,0.0001
830,Phil Lo Greco,0.0001
831,Francisco Javier Castro,0.0001
832,Noe Bolanos,0.0001
833,Ronald Cruz,0.0001
834,Raymond Charles,0.0001
835,Peter Olouch,0.0001
836,Gerardo Cuevas,0.0001
837,Jesus Tavera,0.0001
838,Guillermo Ibarra,0.0001
839,Luis Torres,0.0001
840,Nathan Butcher,0.0001
841,Richard Andrews,0.0001
842,Jonathan Garcia,0.0001
843,Rafael Vazquez,0.0001
844,Miguel Marriaga,0.0001
845,Romulo Koasicha,0.0001
846,Sakaria Lukas,0.0001
847,Toka Kahn Clary,0.0001
848,Ryan Kielczewski,0.0001
849,Juan Dominguez,0.0001
850,Jorge Lara,0.0001
851,Andres Gutierrez,0.0001
852,Javier Mercado,0.0001
853,Giovanni Caro,0.0001
854,Sergio Torres,0.0001
855,Jonatan Romero,0.0001
856,Daniel Rosas,0.0001
857,Reynaldo Cajina,0.0001
858,Antonio Valencia,0.0001
